"Country Code","country name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"CHI","Channel Islands",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CHL","Chile","33.58842","32.9828","32.40456","32.0127","32.47581","33.65347","33.75387","32.11119","31.91719","32.10088","31.72094","32.00638","32.11191","32.02522","31.84614","31.52329","31.64661","31.9054","31.40621","31.23283","40.41704","42.14462","43.76617","46.16785","47.83706","50.45641","50.76234","52.17342","52.95859","52.62659","53.54406","54.13371","52.96275","50.67722","50.86304","51.01732","53.42474","53.7305","52.62244","52.08418","51.75409","51.92268","51.79649"
"CHN","China","7.888701","7.888701","7.888701","7.888701","7.807137","7.807137","7.807137","7.807137","7.807137","7.807137","7.807137","7.807137","8.337635","8.511452","8.909325","9.287461","9.827827","10.39952","11.26651","11.31802","20.87125","21.38586","21.9361","21.98383","22.20767","24.78281","25.85801","28.25627","43.62743","45.46857","46.90911","47.76827","48.28469","49.01411","50.48857","51.23663","51.58099","52.10183","52.29343","52.33778","52.24643","52.23992","52.61246"
"CIV","Cote d'Ivoire","29.0062","28.9559","30.07579","29.68798","29.32562","29.19731","28.97584","29.12716","29.3109","29.25675","29.23887","29.15615","29.40984","29.27121","28.77633","28.11077","28.03227","28.67038","28.74731","27.00036","27.13074","26.92953","26.96383","26.82481","27.00401","27.77594","30.65193","31.35894","31.74732","33.99268","34.20778","34.04725","36.01612","35.44469","34.87242","33.25619","33.79609","33.74189","32.99334","32.58593","32.1469","30.18984","30.86772"
"CMR","Cameroon","22.31452","22.35353","22.27777","22.85156","22.92958","22.76451","22.76451","22.53048","22.46515","22.75126","23.10366","22.91747","22.76755","22.85203","22.86521","22.84299","22.76973","22.86269","22.71747","22.58531","23.41055","23.26996","23.46248","23.11135","22.4679","20.33837","21.63163","21.43898","22.6713","24.93957","25.51501","25.41197","26.29576","26.81168","27.09476","27.43816","26.58347","26.54312","26.56494","26.52636","25.85142","25.9995","25.53926"
"COG","Congo, Rep.","17.43115","18.15802","17.65074","17.95028","18.91925","19.41303","19.95467","19.74693","19.59154","19.17697","19.19388","19.04049","18.30655","17.92365","18.75176","19.15728","18.2978","17.68272","16.09677","16.82936","15.22895","15.13804","14.97426","14.86786","14.90854","16.02534","16.61734","16.0701","15.93639","17.67777","17.8583","17.71367","20.44002","22.04898","22.93608","23.37663","23.27128","23.85967","23.04696","23.33622","23.46402","23.89185","23.89185"
"COL","Colombia","30.02663","29.7332","30.02008","30.10865","30.13026","30.31617","29.77337","29.76539","29.81419","30.25719","30.58542","30.58272","30.54304","30.82766","30.80906","31.4552","32.00064","32.48877","32.51641","31.72373","32.31791","30.94712","30.95221","35.61968","34.02119","41.74382","43.27318","43.82697","45.98401","46.6216","44.24682","47.51357","47.51744","45.95509","47.27266","46.08627","46.78954","47.38473","47.6759","46.82481","45.84459","46.43512","46.45631"
"COM","Comoros",".",".",".",".",".","22.22075","22.37432","22.71162","22.78086","23.03383","23.10308","23.33158","23.1238","23.01542","22.91588","22.83155","22.69913","22.50337","22.40397","22.33167","22.11186","22.02754","22.59224","22.70467","22.95454","22.4758","22.97806","22.23516","21.36376","23.06982","23.2412","23.60212","24.29587","25.76595","26.69004","27.10068","27.76654","28.28031","28.3491","28.0311","28.24142","28.39627","28.39627"
"CPV","Cape Verde",".",".",".",".",".","29.18244","29.2582","29.2582","29.33396","29.33396","29.40972","29.32315","29.33396","29.25545","29.15534","28.97673","29.14728","28.92545","29.03636","28.92545","28.72522","28.73603","28.95333","29.02691","29.29955","29.32586","28.87283","30.12736","31.28971","32.73722","32.96554","34.3425","35.17234","36.20729","36.12452","37.39176","38.17959","38.85715","39.97793","40.46293","41.25232","41.16145","41.23575"
"CRI","Costa Rica","39.56208","39.98957","40.45268","39.97925","40.08612","40.12175","40.74649","40.88282","41.17708","41.64183","41.97216","42.25042","41.83649","44.09201","43.33398","43.6526","44.60138","45.23864","45.94594","46.36683","47.45596","46.64132","45.54098","50.47004","52.85573","54.52449","55.43179","55.14158","56.43836","57.48935","58.4133","59.39896","60.88944","60.71063","60.53299","61.63269","62.83064","62.80355","63.73453","62.15676","62.88912","63.14965","63.40174"
